onset	duration	trial_type	value	sample
0.0	0.0	New Segment/	99999	0
0.0	0.0	Comment/actiCAP Data On	10001	0
0.0	0.002	New Segment/	99999	0
0.0	0.002	Comment/actiCAP Data On	10001	0
70.778	0.0	Stimulus/S217	217	35389
70.778	0.002	Stimulus/S217	217	35389
72.324	0.0	Stimulus/S217	217	36162
72.324	0.002	Stimulus/S217	217	36162
73.994	0.0	Stimulus/S227	227	36997
73.994	0.002	Stimulus/S227	227	36997
75.702	0.0	Stimulus/S228	228	37851
75.702	0.002	Stimulus/S228	228	37851
77.334	0.0	Stimulus/S217	217	38667
77.334	0.002	Stimulus/S217	217	38667
78.866	0.0	Stimulus/S228	228	39433
78.866	0.002	Stimulus/S228	228	39433
80.528	0.0	Stimulus/S217	217	40264
80.528	0.002	Stimulus/S217	217	40264
82.046	0.0	Stimulus/S217	217	41023
82.046	0.002	Stimulus/S217	217	41023
83.588	0.0	Stimulus/S218	218	41794
83.588	0.002	Stimulus/S218	218	41794
85.246	0.0	Stimulus/S217	217	42623
85.246	0.002	Stimulus/S217	217	42623
86.942	0.0	Stimulus/S218	218	43471
86.942	0.002	Stimulus/S218	218	43471
88.548	0.0	Stimulus/S217	217	44274
88.548	0.002	Stimulus/S217	217	44274
90.166	0.0	Stimulus/S218	218	45083
90.166	0.002	Stimulus/S218	218	45083
91.682	0.0	Stimulus/S218	218	45841
91.682	0.002	Stimulus/S218	218	45841
93.26	0.0	Stimulus/S217	217	46630
93.26	0.002	Stimulus/S217	217	46630
94.916	0.0	Stimulus/S218	218	47458
94.916	0.002	Stimulus/S218	218	47458
96.456	0.0	Stimulus/S218	218	48228
96.456	0.002	Stimulus/S218	218	48228
98.094	0.0	Stimulus/S218	218	49047
98.094	0.002	Stimulus/S218	218	49047
99.634	0.0	Stimulus/S218	218	49817
99.634	0.002	Stimulus/S218	218	49817
101.202	0.0	Stimulus/S217	217	50601
101.202	0.002	Stimulus/S217	217	50601
102.886	0.0	Stimulus/S218	218	51443
102.886	0.002	Stimulus/S218	218	51443
104.418	0.0	Stimulus/S217	217	52209
104.418	0.002	Stimulus/S217	217	52209
106.086	0.0	Stimulus/S217	217	53043
106.086	0.002	Stimulus/S217	217	53043
107.71	0.0	Stimulus/S217	217	53855
107.71	0.002	Stimulus/S217	217	53855
109.268	0.0	Stimulus/S217	217	54634
