onset	duration	trial_type	value	sample
0.0	0.0	New Segment/	99999	0
0.0	0.0	Comment/actiCAP Data On	10001	0
0.0	0.002	New Segment/	99999	0
0.0	0.002	Comment/actiCAP Data On	10001	0
84.226	0.0	Stimulus/S 24	24	42113
84.226	0.002	Stimulus/S 24	24	42113
85.764	0.0	Stimulus/S 24	24	42882
85.764	0.002	Stimulus/S 24	24	42882
87.282	0.0	Stimulus/S 24	24	43641
87.282	0.002	Stimulus/S 24	24	43641
88.884	0.0	Stimulus/S 23	23	44442
88.884	0.002	Stimulus/S 23	23	44442
90.502	0.0	Stimulus/S 24	24	45251
90.502	0.002	Stimulus/S 24	24	45251
92.138	0.0	Stimulus/S 23	23	46069
92.138	0.002	Stimulus/S 23	23	46069
93.79	0.0	Stimulus/S 24	24	46895
93.79	0.002	Stimulus/S 24	24	46895
95.308	0.0	Stimulus/S 24	24	47654
95.308	0.002	Stimulus/S 24	24	47654
97.01	0.0	Stimulus/S 23	23	48505
97.01	0.002	Stimulus/S 23	23	48505
98.546	0.0	Stimulus/S 24	24	49273
98.546	0.002	Stimulus/S 24	24	49273
100.23	0.0	Stimulus/S 24	24	50115
100.23	0.002	Stimulus/S 24	24	50115
101.882	0.0	Stimulus/S 24	24	50941
101.882	0.002	Stimulus/S 24	24	50941
103.468	0.0	Stimulus/S 24	24	51734
103.468	0.002	Stimulus/S 24	24	51734
105.12	0.0	Stimulus/S 24	24	52560
105.12	0.002	Stimulus/S 24	24	52560
106.704	0.0	Stimulus/S 23	23	53352
106.704	0.002	Stimulus/S 23	23	53352
108.39	0.0	Stimulus/S 24	24	54195
108.39	0.002	Stimulus/S 24	24	54195
109.974	0.0	Stimulus/S 24	24	54987
109.974	0.002	Stimulus/S 24	24	54987
111.576	0.0	Stimulus/S 24	24	55788
111.576	0.002	Stimulus/S 24	24	55788
113.078	0.0	Stimulus/S 24	24	56539
113.078	0.002	Stimulus/S 24	24	56539
114.746	0.0	Stimulus/S 23	23	57373
114.746	0.002	Stimulus/S 23	23	57373
116.282	0.0	Stimulus/S 24	24	58141
116.282	0.002	Stimulus/S 24	24	58141
117.85	0.0	Stimulus/S 24	24	58925
117.85	0.002	Stimulus/S 24	24	58925
119.502	0.0	Stimulus/S 23	23	59751
119.502	0.002	Stimulus/S 23	23	59751
