onset	duration	trial_type	value	sample
0.0	0.0	New Segment/	99999	0
0.0	0.0	Comment/actiCAP Data On	10001	0
0.0	0.002	New Segment/	99999	0
0.0	0.002	Comment/actiCAP Data On	10001	0
35.01	0.0	Stimulus/S 21	21	17505
35.01	0.002	Stimulus/S 21	21	17505
36.58	0.0	Stimulus/S 21	21	18290
36.58	0.002	Stimulus/S 21	21	18290
38.114	0.0	Stimulus/S 21	21	19057
38.114	0.002	Stimulus/S 21	21	19057
39.7	0.0	Stimulus/S 21	21	19850
39.7	0.002	Stimulus/S 21	21	19850
41.368	0.0	Stimulus/S 21	21	20684
41.368	0.002	Stimulus/S 21	21	20684
43.02	0.0	Stimulus/S 21	21	21510
43.02	0.002	Stimulus/S 21	21	21510
44.522	0.0	Stimulus/S 22	22	22261
44.522	0.002	Stimulus/S 22	22	22261
46.224	0.0	Stimulus/S 21	21	23112
46.224	0.002	Stimulus/S 21	21	23112
47.826	0.0	Stimulus/S 21	21	23913
47.826	0.002	Stimulus/S 21	21	23913
49.378	0.0	Stimulus/S 21	21	24689
49.378	0.002	Stimulus/S 21	21	24689
51.012	0.0	Stimulus/S 21	21	25506
51.012	0.002	Stimulus/S 21	21	25506
52.714	0.0	Stimulus/S 21	21	26357
52.714	0.002	Stimulus/S 21	21	26357
54.232	0.0	Stimulus/S 21	21	27116
54.232	0.002	Stimulus/S 21	21	27116
55.766	0.0	Stimulus/S 22	22	27883
55.766	0.002	Stimulus/S 22	22	27883
57.402	0.0	Stimulus/S 21	21	28701
57.402	0.002	Stimulus/S 21	21	28701
59.054	0.0	Stimulus/S 21	21	29527
59.054	0.002	Stimulus/S 21	21	29527
60.758	0.0	Stimulus/S 21	21	30379
60.758	0.002	Stimulus/S 21	21	30379
62.308	0.0	Stimulus/S 21	21	31154
62.308	0.002	Stimulus/S 21	21	31154
63.844	0.0	Stimulus/S 21	21	31922
63.844	0.002	Stimulus/S 21	21	31922
65.446	0.0	Stimulus/S 21	21	32723
65.446	0.002	Stimulus/S 21	21	32723
67.114	0.0	Stimulus/S 22	22	33557
67.114	0.002	Stimulus/S 22	22	33557
68.698	0.0	Stimulus/S 21	21	34349
68.698	0.002	Stimulus/S 21	21	34349
70.32	0.0	Stimulus/S 21	21	35160
70.32	0.002	Stimulus/S 21	21	35160
