onset	duration	trial_type	value	sample
0.0	0.0	New Segment/	99999	0
0.0	0.0	Comment/actiCAP Data On	10001	0
0.0	0.002	New Segment/	99999	0
0.0	0.002	Comment/actiCAP Data On	10001	0
69.5	0.0	Stimulus/S228	228	34750
69.5	0.002	Stimulus/S228	228	34750
71.13	0.0	Stimulus/S217	217	35565
71.13	0.002	Stimulus/S217	217	35565
72.832	0.0	Stimulus/S218	218	36416
72.832	0.002	Stimulus/S218	218	36416
74.484	0.0	Stimulus/S217	217	37242
74.484	0.002	Stimulus/S217	217	37242
76.17	0.0	Stimulus/S217	217	38085
76.17	0.002	Stimulus/S217	217	38085
77.822	0.0	Stimulus/S217	217	38911
77.822	0.002	Stimulus/S217	217	38911
79.422	0.0	Stimulus/S217	217	39711
79.422	0.002	Stimulus/S217	217	39711
80.958	0.0	Stimulus/S217	217	40479
80.958	0.002	Stimulus/S217	217	40479
82.492	0.0	Stimulus/S228	228	41246
82.492	0.002	Stimulus/S228	228	41246
84.126	0.0	Stimulus/S217	217	42063
84.126	0.002	Stimulus/S217	217	42063
85.748	0.0	Stimulus/S218	218	42874
85.748	0.002	Stimulus/S218	218	42874
87.334	0.0	Stimulus/S218	218	43667
87.334	0.002	Stimulus/S218	218	43667
88.874	0.0	Stimulus/S218	218	44437
88.874	0.002	Stimulus/S218	218	44437
90.372	0.0	Stimulus/S218	218	45186
90.372	0.002	Stimulus/S218	218	45186
92.008	0.0	Stimulus/S218	218	46004
92.008	0.002	Stimulus/S218	218	46004
93.558	0.0	Stimulus/S217	217	46779
93.558	0.002	Stimulus/S217	217	46779
95.158	0.0	Stimulus/S217	217	47579
95.158	0.002	Stimulus/S217	217	47579
96.748	0.0	Stimulus/S228	228	48374
96.748	0.002	Stimulus/S228	228	48374
98.384	0.0	Stimulus/S218	218	49192
98.384	0.002	Stimulus/S218	218	49192
100.088	0.0	Stimulus/S217	217	50044
100.088	0.002	Stimulus/S217	217	50044
101.738	0.0	Stimulus/S228	228	50869
101.738	0.002	Stimulus/S228	228	50869
103.32	0.0	Stimulus/S217	217	51660
103.32	0.002	Stimulus/S217	217	51660
104.86	0.0	Stimulus/S218	218	52430
104.86	0.002	Stimulus/S218	218	52430
106.548	0.0	Stimulus/S218	218	53274
106.548	0.002	Stimulus/S218	218	53274
108.196	0.0	Stimulus/S217	217	54098
